iter	Passed	Remaining
594	13851	9428
595	13873	9404
596	13894	9379
597	13919	9357
598	13946	9336
599	13971	9314
600	13994	9291
601	14015	9266
602	14046	9247
603	14065	9221
604	14085	9196
605	14105	9171
606	14127	9146
607	14149	9122
608	14168	9096
609	14190	9072
610	14208	9046
611	14236	9025
612	14258	9001
613	14283	8979
614	14302	8953
615	14333	8934
616	14354	8910
617	14376	8886
618	14403	8865
619	14425	8841
620	14456	8823
621	14475	8797
622	14498	8773
623	14525	8752
624	14547	8728
625	14566	8702
626	14584	8676
627	14604	8650
628	14624	8625
629	14643	8600
630	14663	8575
631	14683	8549
632	14703	8524
633	14723	8499
634	14742	8474
635	14763	8449
636	14782	8424
637	14801	8398
638	14822	8374
639	14845	8350
640	14868	8327
641	14890	8303
642	14916	8281
643	14938	8257
644	14963	8235
645	14985	8211
646	15009	8189
647	15032	8165
648	15055	8142
649	15077	8118
650	15101	8095
651	15124	8072
652	15148	8049
653	15172	8027
654	15194	8003
655	15219	7981
656	15242	7957
657	15271	7937
658	15297	7915
659	15320	7892
660	15341	7868
661	15365	7845
662	15389	7822
663	15409	7797
664	15433	7774
665	15454	7750
666	15476	7726
667	15500	7703
668	15523	7680
669	15543	7655
670	15567	7632
671	15592	7610
672	15615	7587
673	15637	7563
674	15660	7540
675	15684	7517
676	15710	7495
677	15734	7472
678	15755	7448
679	15776	7424
680	15798	7400
681	15817	7375
682	15840	7352
683	15862	7328
684	15884	7304
685	15909	7282
686	15933	7259
687	15954	7235
688	15979	7212
689	15998	7187
690	16020	7164
691	16041	7139
692	16061	7115
693	16082	7090
694	16100	7065
695	16123	7042
696	16142	7017
697	16161	6992
698	16180	6967
699	16199	6942
700	16218	6917
701	16242	6894
702	16263	6871
703	16290	6849
704	16312	6825
705	16338	6803
706	16358	6779
707	16382	6756
708	16406	6733
709	16431	6711
710	16454	6688
711	16476	6664
712	16500	6641
713	16524	6618
714	16547	6595
715	16570	6572
716	16594	6549
717	16617	6526
718	16644	6504
719	16666	6481
720	16690	6458
721	16713	6435
722	16737	6412
723	16758	6388
724	16783	6366
725	16805	6342
726	16829	6319
727	16851	6296
728	16881	6275
729	16904	6252
730	16927	6229
731	16951	6206
732	16979	6184
733	17000	6161
734	17025	6138
735	17046	6114
736	17070	6091
737	17093	6068
738	17113	6044
739	17133	6019
740	17154	5995
741	17177	5972
742	17196	5948
743	17214	5923
744	17235	5899
745	17256	5875
746	17281	5853
747	17305	5830
748	17327	5806
749	17348	5782
750	17371	5759
751	17394	5736
752	17423	5715
753	17443	5691
754	17465	5667
755	17489	5644
756	17513	5622
757	17535	5598
758	17558	5575
759	17577	5550
760	17600	5527
761	17622	5504
762	17640	5479
763	17660	5455
764	17680	5431
765	17704	5408
766	17725	5384
767	17744	5360
768	17764	5336
769	17783	5312
770	17808	5289
771	17830	5266
772	17850	5242
773	17870	5217
774	17890	5194
775	17911	5170
776	17932	5146
777	17953	5123
778	17976	5099
779	17998	5076
780	18028	5055
781	18052	5032
782	18073	5008
783	18096	4985
784	18123	4963
785	18146	4940
786	18168	4917
787	18190	4893
788	18220	4872
789	18240	4848
790	18261	4825
791	18283	4801
792	18311	4779
793	18337	4757
794	18360	4734
795	18382	4710
796	18406	4688
797	18434	4666
798	18457	4643
799	18478	4619
800	18500	4596
801	18525	4573
802	18549	4550
803	18573	4527
804	18598	4505
805	18621	4482
806	18641	4458
807	18663	4434
808	18686	4411
809	18708	4388
810	18734	4365
811	18754	4342
812	18777	4319
813	18797	4295
814	18816	4271
815	18836	4247
816	18857	4223
817	18877	4200
818	18895	4175
819	18914	4152
820	18934	4128
821	18954	4104
822	18973	4080
823	18993	4056
824	19011	4032
825	19040	4010
826	19063	3987
827	19084	3964
828	19106	3941
829	19128	3917
830	19151	3894
831	19170	3871
832	19191	3847
833	19217	3825
834	19238	3801
835	19257	3777
836	19276	3753
837	19298	3730
838	19321	3707
839	19346	3685
840	19369	3661
841	19392	3638
842	19414	3615
843	19439	3593
844	19464	3570
845	19482	3546
846	19502	3522
847	19521	3499
848	19541	3475
849	19562	3452
850	19581	3428
851	19601	3404
852	19620	3381
853	19639	3357
854	19658	3333
855	19680	3310
856	19700	3287
857	19720	3263
858	19738	3239
859	19755	3216
860	19775	3192
861	19793	3168
862	19812	3145
863	19831	3121
864	19853	3098
865	19877	3075
866	19898	3052
867	19924	3029
868	19946	3006
869	19972	2984
870	19992	2961
871	20014	2937
872	20034	2914
873	20056	2891
874	20081	2868
875	20103	2845
876	20128	2822
877	20151	2800
878	20170	2776
879	20196	2754
880	20219	2731
881	20241	2708
882	20265	2685
883	20287	2662
884	20316	2639
885	20344	2617
886	20366	2594
887	20389	2571
888	20414	2548
889	20438	2526
890	20460	2503
891	20481	2479
892	20509	2457
893	20530	2434
894	20565	2412
895	20589	2389
896	20616	2367
897	20636	2343
898	20654	2320
899	20673	2297
900	20694	2273
901	20716	2250
902	20736	2227
903	20756	2204
904	20775	2180
905	20794	2157
906	20818	2134
907	20837	2111
908	20857	2088
909	20875	2064
910	20893	2041
911	20914	2018
912	20937	1995
913	20957	1971
914	20975	1948
915	20995	1925
916	21022	1902
917	21048	1880
918	21070	1857
919	21094	1834
920	21119	1811
921	21146	1788
922	21169	1766
923	21192	1743
924	21218	1720
925	21246	1697
926	21270	1675
927	21291	1651
928	21320	1629
929	21346	1606
930	21367	1583
931	21391	1560
932	21413	1537
933	21441	1515
934	21467	1492
935	21489	1469
936	21513	1446
937	21539	1423
938	21565	1400
939	21587	1377
940	21616	1355
941	21634	1332
942	21653	1308
943	21675	1285
944	21696	1262
945	21717	1239
946	21738	1216
947	21758	1193
948	21783	1170
949	21805	1147
950	21824	1124
951	21844	1101
952	21865	1078
953	21888	1055
954	21909	1032
955	21929	1009
956	21950	986
957	21972	963
958	22002	940
959	22024	917
960	22047	894
961	22071	871
962	22099	849
963	22122	826
964	22147	803
965	22168	780
966	22197	757
967	22218	734
968	22244	711
969	22265	688
970	22286	665
971	22314	642
972	22338	619
973	22360	596
974	22379	573
975	22407	550
976	22430	528
977	22453	505
978	22475	482
979	22502	459
980	22523	436
981	22546	413
982	22570	390
983	22594	367
984	22622	344
985	22645	321
986	22668	298
987	22690	275
988	22715	252
989	22740	229
990	22763	206
991	22786	183
992	22806	160
993	22829	137
994	22854	114
995	22878	91
996	22897	68
997	22916	45
998	22935	22
999	22955	0
